tipo,codigo_tabela,cod_produto,variacao,campo,valor_atual_sistema,valor_senior,nome_atual_sistema,nome_senior,preco_atual_sistema,preco_senior,desconto_atual_sistema,desconto_senior,quantidade_minima,synced_at,origem
INSERIR,023,SCPSSCAJ,200,item,,existe,,SUCO COPO CAJU,,2.08,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SCPSSLAR,200,item,,existe,,SUCO COPO LARANJA 200ML,,2.09,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SCPSSMAR,200,item,,existe,,SUCO COPO MARACUJA,,2.42,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SCPSSUVA,200,item,,existe,,NECTAR COPO UVA,,2.41,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSABH,900,item,,existe,,SUCO GARRAFA ABACAXI COM HORTELA,,8.81,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSACE,900,item,,existe,,,,10.88,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSCAJ,1L7,item,,existe,,SUCO GARRAFA CAJU,,12.48,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSCAJ,300,item,,existe,,SUCO GARRAFA CAJU,,3.74,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSCAJ,900,item,,existe,,SUCO GARRAFA CAJU,,7.8,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSCOC,900,item,,existe,,AGUA GARRAFA DE COCO,,11.5,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSGOH,900,item,,existe,,SUCO GARRAFA GOIABA COM HIBISCO,,10.88,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSLAR,1L7,item,,existe,,SUCO GARRAFA PASTEURIZADO DE LARANJA,,16.5,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSLAR,300,item,,existe,,SUCO GARRAFA PASTEURIZADO DE LARANJA,,4.12,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSLAR,900,item,,existe,,SUCO GARRAFA PASTEURIZADO DE LARANJA,,9.69,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSLMO,900,item,,existe,,SUCO GARRAFA LARANJA COM MORANGO,,10.88,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSMAR,900,item,,existe,,SUCO GARRAFA MARACUJA 900 ML,,9.9,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSMMA,300,item,,existe,,SUCO GARRAFA MANGA E MARACUJA,,4.33,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,023,SGRSSMMA,900,item,,existe,,SUCO GARRAFA MANGA E MARACUJA,,8.86,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,024,SBSSSABA,05L,item,,existe,,,,24.5,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,024,SBSSSCAJ,05L,item,,existe,,SUCO BOLSA CAJU,,25.48,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,024,SBSSSGOI,05L,item,,existe,,SUCO BOLSA GOIABA,,25.48,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,024,SBSSSLAR,05L,item,,existe,,SUCO BOLSA LARANJA,,40.35,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,024,SBSSSMAN,05L,item,,existe,,,,25.48,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
INSERIR,024,SBSSSMAR,05L,item,,existe,,SUCO BOLSA MARACUJA,,29.15,,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
